"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality"
36,2025-04-22 12:04:37,2025-04-22 12:06:56,"information systems","iya","campus s","1-2 kali","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju"
37,2025-04-22 12:17:26,2025-04-22 12:19:50,"data science","iya","campus b","1-2 kali","tidak merasakan","setuju","sangat setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
38,2025-04-22 12:18:49,2025-04-22 12:22:32,"computer science","iya","campus m","3-4 kali","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","setuju","setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju","setuju","sangat setuju","sangat setuju"
39,2025-04-22 12:18:06,2025-04-22 12:23:05,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
40,2025-04-22 12:23:31,2025-04-22 12:27:15,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan"
41,2025-04-22 12:50:29,2025-04-22 12:53:44,"computer science","iya","campus b",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
42,2025-04-22 12:07:02,2025-04-22 13:33:26,"computer science","iya","campus m","1-2 kali","setuju","setuju","setuju","tidak merasakan","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju"
43,2025-04-22 13:34:36,2025-04-22 13:36:15,"computer science","iya","campus gj",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
44,2025-04-22 16:08:14,2025-04-22 16:14:47,"digital business","iya","campus b","3-4 kali","setuju","setuju","setuju","setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","sangat tidak setuju","sangat tidak setuju","setuju","tidak setuju","setuju","setuju","tidak setuju","tidak setuju"
45,2025-04-23 10:17:04,2025-04-23 10:19:16,"information systems","iya","campus s","1-2 kali","sangat setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan"
46,2025-04-24 10:52:28,2025-04-24 10:55:04,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","tidak merasakan","sangat setuju","setuju","setuju","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","tidak merasakan","setuju"
47,2025-04-24 10:55:41,2025-04-24 10:59:27,"computer science","iya","campus s","1-2 kali","setuju","setuju","setuju","setuju","tidak setuju","setuju","setuju","tidak setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
48,2025-04-24 12:58:28,2025-04-24 13:00:04,"computer science","iya","campus s",">4 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
49,2025-04-24 12:55:53,2025-04-24 13:29:41,"computer science","iya","campus s",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
