"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality"
102,2025-04-26 19:04:27,2025-04-26 19:07:37,"computer science","iya","campus s","3-4 kali","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","setuju"
103,2025-04-26 19:26:49,2025-04-26 19:28:00,"computer science","iya","campus b","1-2 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
104,2025-04-26 19:35:33,2025-04-26 19:37:29,"computer science","iya","campus b","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
105,2025-04-26 19:38:25,2025-04-26 19:41:38,"computer science","iya","campus b",">4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
106,2025-04-26 19:56:00,2025-04-26 19:59:53,"public relations","iya","campus m",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","sangat setuju","setuju","tidak merasakan","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","tidak merasakan"
107,2025-04-26 19:59:10,2025-04-26 20:01:28,"computer science","iya","campus b","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","setuju"
108,2025-04-26 21:32:06,2025-04-26 21:35:40,"computer science","iya","campus s","3-4 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","sangat setuju","tidak merasakan","setuju","setuju","tidak setuju","tidak setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
109,2025-04-26 23:55:45,2025-04-26 23:59:47,"information systems","iya","campus s",">4 kali","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
110,2025-04-27 17:27:02,2025-04-27 17:29:33,"computer science","iya","campus m","1-2 kali","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
111,2025-04-28 15:57:42,2025-04-28 15:59:56,"computer science","iya","campus s","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan"
112,2025-04-28 18:47:12,2025-04-28 18:50:17,"computer science","iya","campus b","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
113,2025-04-29 13:44:49,2025-04-29 13:46:52,"computer science","iya","campus s","0 kali","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak setuju","setuju"
114,2025-04-29 14:25:56,2025-04-29 14:30:59,"computer science","iya","campus b","1-2 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju"
115,2025-04-29 23:52:15,2025-04-29 23:56:17,"computer science","iya","campus b","1-2 kali","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju"
116,2025-05-05 12:25:19,2025-05-05 12:28:04,"computer science","iya","campus b",">4 kali","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju","setuju"
